WarrantyPolicyKey,WarrantyPolicyCode,WarrantyCoverageProgramKey,WarrantyPolicyName,SourceSystemKey,BatchId,LoadedAtUtc
-1,UNKNOWN,-1,Unknown,-1,0,1900-01-01T00:00:00.000
1,WP000001,69,Junction WarrantyPolicy 1,1,1,2026-08-24T00:00:00.000
2,WP000002,9,Northstar WarrantyPolicy 2,1,1,2026-08-24T00:00:00.000
3,WP000003,30,Liberty WarrantyPolicy 3,1,1,2026-08-24T00:00:00.000
4,WP000004,30,Orion WarrantyPolicy 4,1,1,2026-08-24T00:00:00.000
5,WP000005,90,Vertex WarrantyPolicy 5,1,1,2026-08-24T00:00:00.000
6,WP000006,14,Quartz WarrantyPolicy 6,1,1,2026-08-24T00:00:00.000
7,WP000007,53,Delta WarrantyPolicy 7,1,1,2026-08-24T00:00:00.000
8,WP000008,76,Ion WarrantyPolicy 8,1,1,2026-08-24T00:00:00.000
9,WP000009,3,Summit WarrantyPolicy 9,1,1,2026-08-24T00:00:00.000
10,WP000010,33,Beacon WarrantyPolicy 10,1,1,2026-08-24T00:00:00.000
11,WP000011,33,Beacon WarrantyPolicy 11,1,1,2026-08-24T00:00:00.000
12,WP000012,44,Summit WarrantyPolicy 12,1,1,2026-08-24T00:00:00.000
13,WP000013,36,Titan WarrantyPolicy 13,1,1,2026-08-24T00:00:00.000
14,WP000014,39,Harbor WarrantyPolicy 14,1,1,2026-08-24T00:00:00.000
15,WP000015,52,Northstar WarrantyPolicy 15,1,1,2026-08-24T00:00:00.000
16,WP000016,65,Zenith WarrantyPolicy 16,1,1,2026-08-24T00:00:00.000
17,WP000017,77,Cedar WarrantyPolicy 17,1,1,2026-08-24T00:00:00.000
18,WP000018,2,Harbor WarrantyPolicy 18,1,1,2026-08-24T00:00:00.000
19,WP000019,60,Zenith WarrantyPolicy 19,1,1,2026-08-24T00:00:00.000
20,WP000020,24,Forge WarrantyPolicy 20,1,1,2026-08-24T00:00:00.000
21,WP000021,7,Riverton WarrantyPolicy 21,1,1,2026-08-24T00:00:00.000
22,WP000022,14,Delta WarrantyPolicy 22,1,1,2026-08-24T00:00:00.000
23,WP000023,23,Summit WarrantyPolicy 23,1,1,2026-08-24T00:00:00.000
24,WP000024,50,Granite WarrantyPolicy 24,1,1,2026-08-24T00:00:00.000
25,WP000025,4,Meridian WarrantyPolicy 25,1,1,2026-08-24T00:00:00.000
26,WP000026,8,Summit WarrantyPolicy 26,1,1,2026-08-24T00:00:00.000
27,WP000027,46,Willow WarrantyPolicy 27,1,1,2026-08-24T00:00:00.000
28,WP000028,75,Willow WarrantyPolicy 28,1,1,2026-08-24T00:00:00.000
