FinanceJournalHeaderKey,JournalEntryNumber,BusinessUnitKey,PreparerEmployeeKey,ApproverEmployeeKey,FinancePostingStatusKey,FinanceJournalSourceKey,CurrencyKey,JournalEntryName,FiscalDocumentNumber,ReversalJournalEntryNumber,SourceSystemKey,BatchId,LoadedAtUtc,EffectiveFromUtc,EffectiveToUtc,IsCurrent,RowHash
-1,UNKNOWN,-1,-1,-1,-1,-1,-1,Unknown,UNKNOWN,UNKNOWN,-1,0,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,1900-01-01T00:00:00.000,0,0000000000000000000000000000000000000000000000000000000000000000
1,FJH000001,308,419,52,3,8,3,Delta FinanceJournalHeader 1,FJH000001,FJH000001,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,92c38f2db198582eabb1d43e7856831792c38f2db198582eabb1d43e78568317
2,FJH000002,349,453,127,8,10,4,Delta FinanceJournalHeader 2,FJH000002,FJH000002,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,81180ea4beff548eb3a5595919eb313281180ea4beff548eb3a5595919eb3132
3,FJH000003,37,493,425,7,6,2,Meridian FinanceJournalHeader 3,FJH000003,FJH000003,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5bff8a9474e05ed58fe90b1c0247c8515bff8a9474e05ed58fe90b1c0247c851
4,FJH000004,306,227,262,2,7,5,Beacon FinanceJournalHeader 4,FJH000004,FJH000004,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,087ac7ba1a775eb0898d69bc9f125a64087ac7ba1a775eb0898d69bc9f125a64
5,FJH000005,243,439,258,10,8,5,Pioneer FinanceJournalHeader 5,FJH000005,FJH000005,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,750d2d4f416b5341af83347f4f70f902750d2d4f416b5341af83347f4f70f902
6,FJH000006,42,477,225,10,7,4,Riverton FinanceJournalHeader 6,FJH000006,FJH000006,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,f570cb21390a590a81f4c942ddb224fcf570cb21390a590a81f4c942ddb224fc
7,FJH000007,359,326,31,7,3,1,Junction FinanceJournalHeader 7,FJH000007,FJH000007,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,6435f89779af5c008fdb9a06b277561b6435f89779af5c008fdb9a06b277561b
8,FJH000008,225,370,279,8,5,2,Evergreen FinanceJournalHeader 8,FJH000008,FJH000008,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,3ac4c900926c5cd9a6e68db9529fabff3ac4c900926c5cd9a6e68db9529fabff
9,FJH000009,196,450,45,5,1,4,Meridian FinanceJournalHeader 9,FJH000009,FJH000009,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,033e9b84d0875755bf10f2469b91d2c4033e9b84d0875755bf10f2469b91d2c4
10,FJH000010,462,271,315,1,1,3,Unity FinanceJournalHeader 10,FJH000010,FJH000010,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,841491f0baa25968afa850949dba089d841491f0baa25968afa850949dba089d
11,FJH000011,416,435,274,9,16,5,Quartz FinanceJournalHeader 11,FJH000011,FJH000011,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,5601d3de9bdf5d2592e2690a490e1be35601d3de9bdf5d2592e2690a490e1be3
12,FJH000012,199,425,318,2,14,4,Summit FinanceJournalHeader 12,FJH000012,FJH000012,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,cd83b7ef810854a1b91b0fb11e67b122cd83b7ef810854a1b91b0fb11e67b122
13,FJH000013,248,228,263,10,19,5,Vertex FinanceJournalHeader 13,FJH000013,FJH000013,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,ffc9e12afe0757b78502e647de584c0fffc9e12afe0757b78502e647de584c0f
14,FJH000014,411,159,355,8,23,5,Meridian FinanceJournalHeader 14,FJH000014,FJH000014,1,1,2026-08-24T00:00:00.000,2018-01-01T00:00:00.000,9999-12-31T00:00:00.000,1,1778f54063c65f3985382e001c7d20431778f54063c65f3985382e001c7d2043
