DateKey,CalendarWeekKey,FiscalPeriodKey,YesNoFlagKey,FullDate,DayName,DayOfWeekNumber,IsoDayOfWeekNumber,DayOfMonthNumber,DayOfYearNumber,WeekOfYearNumber,IsoWeekNumber,CalendarMonthNumber,CalendarMonthName,CalendarMonthShortName,CalendarQuarterNumber,CalendarYearNumber,FiscalPeriodNumber,FiscalQuarterNumber,FiscalYearNumber,IsWeekend,IsHoliday,HolidayName,JulianDayNumber,DaysFromToday,WeeksFromToday,MonthsFromToday,IsMonthEnd,IsQuarterEnd,IsYearEnd,SourceSystemKey,BatchId,LoadedAtUtc
-1,-1,-1,-1,1900-01-01,Unknown,0,0,0,0,0,0,0,Unknown,Unknown,0,0,0,0,0,0,0,Unknown,0,0,0,0,0,0,0,-1,0,1900-01-01T00:00:00.000
20180101,1,7,1,2018-01-01,Monday,2,1,1,1,1,1,1,January,Jan,1,2018,7,3,2018,0,1,New Year's Day,736695,-3157,-451,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180102,1,7,1,2018-01-02,Tuesday,3,2,2,2,1,1,1,January,Jan,1,2018,7,3,2018,0,0,N/A,736696,-3156,-451,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180103,1,7,1,2018-01-03,Wednesday,4,3,3,3,1,1,1,January,Jan,1,2018,7,3,2018,0,0,N/A,736697,-3155,-451,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180104,1,7,1,2018-01-04,Thursday,5,4,4,4,1,1,1,January,Jan,1,2018,7,3,2018,0,0,N/A,736698,-3154,-451,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180105,1,7,1,2018-01-05,Friday,6,5,5,5,1,1,1,January,Jan,1,2018,7,3,2018,0,0,N/A,736699,-3153,-451,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180106,1,7,2,2018-01-06,Saturday,7,6,6,6,1,1,1,January,Jan,1,2018,7,3,2018,1,0,N/A,736700,-3152,-451,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180107,1,7,2,2018-01-07,Sunday,1,7,7,7,2,1,1,January,Jan,1,2018,7,3,2018,1,0,N/A,736701,-3151,-451,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180108,2,7,1,2018-01-08,Monday,2,1,8,8,2,2,1,January,Jan,1,2018,7,3,2018,0,0,N/A,736702,-3150,-450,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180109,2,7,1,2018-01-09,Tuesday,3,2,9,9,2,2,1,January,Jan,1,2018,7,3,2018,0,0,N/A,736703,-3149,-450,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180110,2,7,1,2018-01-10,Wednesday,4,3,10,10,2,2,1,January,Jan,1,2018,7,3,2018,0,0,N/A,736704,-3148,-450,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180111,2,7,1,2018-01-11,Thursday,5,4,11,11,2,2,1,January,Jan,1,2018,7,3,2018,0,0,N/A,736705,-3147,-450,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180112,2,7,1,2018-01-12,Friday,6,5,12,12,2,2,1,January,Jan,1,2018,7,3,2018,0,0,N/A,736706,-3146,-450,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180113,2,7,2,2018-01-13,Saturday,7,6,13,13,2,2,1,January,Jan,1,2018,7,3,2018,1,0,N/A,736707,-3145,-450,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180114,2,7,2,2018-01-14,Sunday,1,7,14,14,3,2,1,January,Jan,1,2018,7,3,2018,1,0,N/A,736708,-3144,-450,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180115,3,7,1,2018-01-15,Monday,2,1,15,15,3,3,1,January,Jan,1,2018,7,3,2018,0,0,N/A,736709,-3143,-449,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180116,3,7,1,2018-01-16,Tuesday,3,2,16,16,3,3,1,January,Jan,1,2018,7,3,2018,0,0,N/A,736710,-3142,-449,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180117,3,7,1,2018-01-17,Wednesday,4,3,17,17,3,3,1,January,Jan,1,2018,7,3,2018,0,0,N/A,736711,-3141,-449,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180118,3,7,1,2018-01-18,Thursday,5,4,18,18,3,3,1,January,Jan,1,2018,7,3,2018,0,0,N/A,736712,-3140,-449,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180119,3,7,1,2018-01-19,Friday,6,5,19,19,3,3,1,January,Jan,1,2018,7,3,2018,0,0,N/A,736713,-3139,-449,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180120,3,7,2,2018-01-20,Saturday,7,6,20,20,3,3,1,January,Jan,1,2018,7,3,2018,1,0,N/A,736714,-3138,-449,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180121,3,7,2,2018-01-21,Sunday,1,7,21,21,4,3,1,January,Jan,1,2018,7,3,2018,1,0,N/A,736715,-3137,-449,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180122,4,7,1,2018-01-22,Monday,2,1,22,22,4,4,1,January,Jan,1,2018,7,3,2018,0,0,N/A,736716,-3136,-448,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180123,4,7,1,2018-01-23,Tuesday,3,2,23,23,4,4,1,January,Jan,1,2018,7,3,2018,0,0,N/A,736717,-3135,-448,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180124,4,7,1,2018-01-24,Wednesday,4,3,24,24,4,4,1,January,Jan,1,2018,7,3,2018,0,0,N/A,736718,-3134,-448,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180125,4,7,1,2018-01-25,Thursday,5,4,25,25,4,4,1,January,Jan,1,2018,7,3,2018,0,0,N/A,736719,-3133,-448,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180126,4,7,1,2018-01-26,Friday,6,5,26,26,4,4,1,January,Jan,1,2018,7,3,2018,0,0,N/A,736720,-3132,-448,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180127,4,7,2,2018-01-27,Saturday,7,6,27,27,4,4,1,January,Jan,1,2018,7,3,2018,1,0,N/A,736721,-3131,-448,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180128,4,7,2,2018-01-28,Sunday,1,7,28,28,5,4,1,January,Jan,1,2018,7,3,2018,1,0,N/A,736722,-3130,-448,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180129,5,7,1,2018-01-29,Monday,2,1,29,29,5,5,1,January,Jan,1,2018,7,3,2018,0,0,N/A,736723,-3129,-447,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180130,5,7,1,2018-01-30,Tuesday,3,2,30,30,5,5,1,January,Jan,1,2018,7,3,2018,0,0,N/A,736724,-3128,-447,-103,0,0,0,1,1,2026-08-24T00:00:00.000
20180131,5,7,1,2018-01-31,Wednesday,4,3,31,31,5,5,1,January,Jan,1,2018,7,3,2018,0,0,N/A,736725,-3127,-447,-103,1,0,0,1,1,2026-08-24T00:00:00.000
20180201,5,8,1,2018-02-01,Thursday,5,4,1,32,5,5,2,February,Feb,1,2018,8,3,2018,0,0,N/A,736726,-3126,-447,-102,0,0,0,1,1,2026-08-24T00:00:00.000
20180202,5,8,1,2018-02-02,Friday,6,5,2,33,5,5,2,February,Feb,1,2018,8,3,2018,0,0,N/A,736727,-3125,-447,-102,0,0,0,1,1,2026-08-24T00:00:00.000
